trip_id,start_time,end_time,headway_secs
SE:WD:0,05:00:00,06:45:00,330
SE:WD:0,06:45:00,08:45:00,210
SE:WD:0,08:45:00,18:15:00,330
SE:WD:0,18:15:00,20:30:00,210
SE:WD:0,20:30:00,25:00:00,330
SE:WD:1,05:00:00,06:45:00,330
SE:WD:1,06:45:00,08:45:00,210
SE:WD:1,08:45:00,18:15:00,330
SE:WD:1,18:15:00,20:30:00,210
SE:WD:1,20:30:00,25:00:00,330
SW:WD:0,05:00:00,06:45:00,330
SW:WD:0,06:45:00,08:45:00,210
SW:WD:0,08:45:00,18:15:00,330
SW:WD:0,18:15:00,20:30:00,210
SW:WD:0,20:30:00,25:00:00,330
SW:WD:1,05:00:00,06:45:00,330
SW:WD:1,06:45:00,08:45:00,210
SW:WD:1,08:45:00,18:15:00,330
SW:WD:1,18:15:00,20:30:00,210
SW:WD:1,20:30:00,25:00:00,330
PE:WD:0,05:00:00,06:45:00,405
PE:WD:0,06:45:00,08:45:00,210
PE:WD:0,08:45:00,18:15:00,405
PE:WD:0,18:15:00,20:30:00,210
PE:WD:0,20:30:00,25:00:00,405
PE:WD:1,05:00:00,06:45:00,405
PE:WD:1,06:45:00,08:45:00,210
PE:WD:1,08:45:00,18:15:00,405
PE:WD:1,18:15:00,20:30:00,210
PE:WD:1,20:30:00,25:00:00,405
PW:WD:0,05:00:00,06:45:00,405
PW:WD:0,06:45:00,08:45:00,210
PW:WD:0,08:45:00,18:15:00,405
PW:WD:0,18:15:00,20:30:00,210
PW:WD:0,20:30:00,25:00:00,405
PW:WD:1,05:00:00,06:45:00,405
PW:WD:1,06:45:00,08:45:00,210
PW:WD:1,08:45:00,18:15:00,405
PW:WD:1,18:15:00,20:30:00,210
PW:WD:1,20:30:00,25:00:00,405
BP:WD:0,05:00:00,06:00:00,210
BP:WD:0,06:00:00,08:30:00,165
BP:WD:0,08:30:00,18:00:00,390
BP:WD:0,18:00:00,19:30:00,330
BP:WD:0,19:30:00,25:00:00,390
BP:WD:1,05:00:00,06:00:00,210
BP:WD:1,06:00:00,08:30:00,165
BP:WD:1,08:30:00,18:00:00,390
BP:WD:1,18:00:00,19:30:00,330
BP:WD:1,19:30:00,25:00:00,390
BP-C:WD:0,10:00:00,16:00:00,1200
