trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
SE:WD:0,05:25:00,05:25:00,66,0,
SE:WD:0,05:27:00,05:27:00,79,1,
SE:WD:0,05:29:00,05:29:00,80,2,
SE:WD:0,05:30:00,05:30:00,81,3,
SE:WD:0,05:31:00,05:31:00,82,4,
SE:WD:0,05:33:00,05:33:00,83,5,
SE:WD:0,05:36:00,05:36:00,66,6,
SE:WD:1,05:29:00,05:29:00,66,0,
SE:WD:1,05:32:00,05:32:00,83,1,
SE:WD:1,05:34:00,05:34:00,82,2,
SE:WD:1,05:35:00,05:35:00,81,3,
SE:WD:1,05:36:00,05:36:00,80,4,
SE:WD:1,05:38:00,05:38:00,79,5,
SE:WD:1,05:40:00,05:40:00,66,6,
SW:WD:0,05:33:00,05:33:00,66,0,
SW:WD:0,05:35:00,05:35:00,84,1,
SW:WD:0,05:37:00,05:37:00,85,2,
SW:WD:0,05:38:00,05:38:00,86,3,
SW:WD:0,05:40:00,05:40:00,87,4,
SW:WD:0,05:41:00,05:41:00,88,5,
SW:WD:0,05:42:00,05:42:00,89,6,
SW:WD:0,05:43:00,05:43:00,90,7,
SW:WD:0,05:44:00,05:44:00,91,8,
SW:WD:0,05:47:00,05:47:00,66,9,
SW:WD:1,05:33:00,05:33:00,66,0,
SW:WD:1,05:36:00,05:36:00,91,1,
SW:WD:1,05:37:00,05:37:00,90,2,
SW:WD:1,05:38:00,05:38:00,89,3,
SW:WD:1,05:39:00,05:39:00,88,4,
SW:WD:1,05:40:00,05:40:00,87,5,
SW:WD:1,05:42:00,05:42:00,86,6,
SW:WD:1,05:43:00,05:43:00,85,7,
SW:WD:1,05:45:00,05:45:00,84,8,
SW:WD:1,05:47:00,05:47:00,66,9,
PE:WD:0,05:20:00,05:20:00,65,0,
PE:WD:0,05:22:00,05:22:00,92,1,
PE:WD:0,05:23:00,05:23:00,93,2,
PE:WD:0,05:24:00,05:24:00,94,3,
PE:WD:0,05:26:00,05:26:00,95,4,
PE:WD:0,05:27:00,05:27:00,96,5,
PE:WD:0,05:29:00,05:29:00,97,6,
PE:WD:0,05:31:00,05:31:00,65,7,
PE:WD:1,05:25:00,05:25:00,65,0,
PE:WD:1,05:27:00,05:27:00,97,1,
PE:WD:1,05:29:00,05:29:00,96,2,
PE:WD:1,05:30:00,05:30:00,95,3,
PE:WD:1,05:32:00,05:32:00,94,4,
PE:WD:1,05:33:00,05:33:00,93,5,
PE:WD:1,05:34:00,05:34:00,92,6,
PE:WD:1,05:36:00,05:36:00,65,7,
PW:WD:0,05:20:00,05:20:00,65,0,
PW:WD:0,05:22:00,05:22:00,99,1,
PW:WD:0,05:23:00,05:23:00,101,2,
PW:WD:0,05:24:00,05:24:00,102,3,
PW:WD:0,05:25:00,05:25:00,103,4,
PW:WD:0,05:26:00,05:26:00,104,5,
PW:WD:0,05:27:00,05:27:00,105,6,
PW:WD:0,05:28:00,05:28:00,65,7,
PW:WD:1,05:25:00,05:25:00,65,0,
PW:WD:1,05:26:00,05:26:00,105,1,
PW:WD:1,05:27:00,05:27:00,104,2,
PW:WD:1,05:28:00,05:28:00,103,3,
PW:WD:1,05:29:00,05:29:00,102,4,
PW:WD:1,05:30:00,05:30:00,101,5,
PW:WD:1,05:31:00,05:31:00,99,6,
PW:WD:1,05:33:00,05:33:00,65,7,
BP:WD:0,05:13:00,05:13:00,30,0,
BP:WD:0,05:14:00,05:14:00,49,1,
BP:WD:0,05:15:00,05:15:00,50,2,
BP:WD:0,05:16:00,05:16:00,51,3,
BP:WD:0,05:17:00,05:17:00,52,4,
BP:WD:0,05:18:00,05:18:00,53,5,
BP:WD:0,05:19:00,05:19:00,54,6,
BP:WD:0,05:20:00,05:20:00,55,7,
BP:WD:0,05:21:00,05:21:00,56,8,
BP:WD:0,05:22:00,05:22:00,57,9,
BP:WD:0,05:23:00,05:23:00,58,10,
BP:WD:0,05:24:00,05:24:00,59,11,
